Sample,Date,Time,Counted by,Site,DO (mg/L),Saturation (%),Temperature (?C)
1333,13/12/2019,08:00,Kabelo,Primary sump,10.5,107,14.5
1334,17/12/2019,08:00,Kabelo,Primary sump,9.87,105.0,16.8
1335,17/12/2019,10:00,Kabelo,After Drumfilter,,,
1336,18/12/2019,08:00,Pertunia,Primary sump,9.95,104.8,17.3
1337,19/12/2019,08:30,Justin,Primary sump,11.76,116.6,16.8
1338,20/12/2019,07:40,Peter,Primary sump,9.79,104.8,17.8
1339,23/12/2019,08:00,Pertunia,Primary sump,8.27,94.1,18.7
1340,24/12/2019,08:00,Pertunia,Primary sump,,,
1341,27/12/2019,08:00,Pertunia,Primary sump,,,
1342,30/12/2019,08:00,Kabelo,Primary sump,8.44,94.5,20.7
1343,31/12/2019,08:00,Kabelo,Primary sump,9.59,101.2,18.2
1344,02/01/2020,08:00,Kabelo,Primary sump,9.12,96.8,18.2
1345,02/01/2020,16:30,Kabelo,Primary sump,9.79,103.7,18.3
1346,03/01/2020,08:00,Kabelo,Primary sump,9.89,103.4,16.6
1347,06/01/2020,07:50,Justin,Primary sump,9.8,105.9,18.6
1348,07/01/2020,07:56,Peter,Primary sump,9.68,103.4,18.2
1349,08/01/2020,07:45,Justin,Primary sump,9.43,123.9,16.5
1350,09/01/2020,08:09,Peter,Primary sump,8.79,95.4,19.2
1351,10/01/2020,07:50,Justin,Primary sump,,,
1352,13/01/2020,08:09,Peter,Primary sump,,,19
1353,14/01/2020,08:00,Kabelo,Primary sump,,,17
1354,15/01/2020,08:00,Pertunia,Primary sump,,,16
1355,16/01/2020,07:50,Justin,Primary sump,,,
1356,17/01/2020,07:46,Peter,Primary sump,,,14
1357,20/01/2020,07:40,Justin,Primary sump,,,12
1358,21/01/2020,07:40,Justin,Primary sump,,,11
1359,22/01/2020,07:45,Justin,Primary sump,,,11
1360,23/01/2020,07:45,Justin,Primary sump,,,11
1361,24/01/2020,07:43,Peter,Primary sump,,,12
1362,27/01/2020,07:45,Kabelo,Primary sump,,,13
1363,27/01/2020,16:05,Kabelo,Primary sump,,,14
1364,28/01/2020,07:42,Kabelo,Primary sump,,,15
1365,29/01/2020,07:45,Lorna,Primary sump,,,16
1366,29/01/2020,14:42,Peter,Primary sump,,,17
1367,30/01/2020,07:45,Justin,Primary sump,,,13.5
1368,31/01/2020,08:30,Pertunia,Primary sump,,,12
1369,03/02/2020,07:45,Justin,Primary sump,,,12
1370,03/02/2020,13:25,Kabelo,Primary sump,,,13
1371,04/02/2020,07:45,Justin,Primary sump,,,13
1372,05/02/2020,07:40,Justin,Primary sump,,,14.5
1373,06/02/2020,07:42,Peter,Primary sump,,,16
1374,07/02/2020,07:40,Justin,Primary sump,,,14
1375,10/02/2020,07:55,Kabelo,Primary sump,,,12
1376,11/02/2020,07:45,Kabelo,Primary sump,,,10.5
1377,12/02/2020,07:55,Peter,Primary sump,,,11
1378,13/02/2020,07:43,Kabelo,Primary sump,,,11
1379,14/02/2020,07:41,Peter,Primary sump,,,12
1380,17/02/2020,07:46,Kabelo,Primary sump,,,14
1381,18/02/2020,07:50,Kabelo,Primary sump,,,14
1382,19/02/2020,07:35,Justin,Primary sump,,,14.5
1383,20/02/2020,08:05,Kabelo,Primary sump,,,14
1384,21/02/2020,07:41,Peter,Primary sump,,,14
1385,24/02/2020,07:40,Kabelo,Primary sump,,,11.9
1386,25/02/2020,07:44,Kabelo,Primary sump,,,11
1387,26/02/2020,08:53,Peter,Primary sump,,,13
1388,27/02/2020,07:57,Peter,Primary sump,,,14
1389,28/02/2020,07:44,Peter,Primary sump,,,12
1390,02/03/2020,07:45,Peter,Primary sump,,,12
1391,03/03/2020,07:44,Peter,Primary sump,,,10
1392,04/03/2020,07:37,Peter,Primary sump,,,11
1393,05/03/2020,07:57,Peter,Primary sump,,,11
1394,06/03/2020,08:00,Justin,Primary sump,,,12
1395,09/03/2020,07:37,Peter,Primary sump,,,13
1396,10/03/2020,07:42,Peter,Primary sump,,,13
